0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.extensions.markup.html.bootstrap.form.select.BootstrapSelectBehavior/css/bootstrap-select-ver-8AF183DE27659F37FBA96485D084DD2D.css HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.theme.Initializer/kendo.bootstrap.mobile.min-ver-AF97CF455781A76DBC3DF6BCDAA2297F.css HTTP/1.1" 200 112591
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/css/login.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/webjars/font-awesome/4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/webjars/ionicons/2.0.1/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-6DF86E3B3842D86E08D396E6FC566F05.js HTTP/1.1" 200 43462
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/css/syncopeConsole.css HTTP/1.1" 200 19346
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.webjars.request.resource.WebjarsCssResourceReference/webjars/bootstrap/3.3.7/css/bootstrap-ver-EC3BB52A00E176A7181D454DFFAEA219.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.webjars.request.resource.WebjarsJavaScriptResourceReference/webjars/bootstrap/3.3.7/js/bootstrap-ver-30CE14A62077E6E8D985FB9BB860DCF6.js HTTP/1.1" 200 36921
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/img/logo-green.png HTTP/1.1" 200 12178
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.theme.Initializer/images/kendoui.woff?v=1.1 HTTP/1.1" 200 64184
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/img/favicon.png HTTP/1.1" 200 641
127.0.0.1 - - [04/Nov/2017:14:30:51 +0200] "POST /syncope/rest/accessTokens/login HTTP/1.1" 204 -
127.0.0.1 - - [04/Nov/2017:14:30:52 +0200] "GET /syncope/rest/users/self HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:52 +0200] "POST /syncope-console/login?1-1.IBehaviorListener.0-login-submit HTTP/1.1" 200 76
127.0.0.1 - - [04/Nov/2017:14:30:52 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
127.0.0.1 - - [04/Nov/2017:14:30:53 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:30:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 200 1751
127.0.0.1 - - [04/Nov/2017:14:30:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 200 1751
127.0.0.1 - - [04/Nov/2017:14:30:54 +0200] "GET /syncope/rest/platform HTTP/1.1" 200 1751
127.0.0.1 - - [04/Nov/2017:14:30:54 +0200] "GET /syncope/rest/platform HTTP/1.1" 200 1751
127.0.0.1 - - [04/Nov/2017:14:30:54 +0200] "GET /syncope/rest/system HTTP/1.1" 200 254
127.0.0.1 - - [04/Nov/2017:14:30:54 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:55 +0200] "GET /syncope-console/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:55 +0200] "GET /syncope-console/?2 HTTP/1.1" 200 21185
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/wicket/resource/com.pingunaut.wicket.chartjs.core.AbstractChartPanel/chartjs/Chart.min-ver-7D8FD0C1DC6732675A1BD453A3F643A1.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/css/AdminLTE_plugins/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/wicket/resource/com.pingunaut.wicket.chartjs.core.AbstractChartPanel/bridge-ver-4CE70165F4D8E9B995FFD654070E9659.js HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/css/AdminLTE_skins/skin-green-light.css HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/webjars/jQuery-slimScroll/1.3.8/jquery.slimscroll.min.js HTTP/1.1" 200 4724
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/webjars/bootbox/4.4.0/bootbox.js HTTP/1.1" 200 26570
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/img/logo-mini.png HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/webjars/font-awesome/4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:56 +0200] "GET /syncope-console/webjars/ionicons/2.0.1/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
127.0.0.1 - - [04/Nov/2017:14:31:26 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:26 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656155 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:31:56 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:31:56 +0200] "GET /syncope/rest/system HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:56 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656156 HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656157 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:31:57 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
127.0.0.1 - - [04/Nov/2017:14:32:27 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:27 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656158 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:32:57 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:32:57 +0200] "GET /syncope/rest/system HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656159 HTTP/1.1" 200 2898
127.0.0.1 - - [04/Nov/2017:14:32:57 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656160 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:33:27 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:33:27 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656161 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:33:57 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:33:57 +0200] "GET /syncope/rest/system HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:33:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656162 HTTP/1.1" 200 2933
127.0.0.1 - - [04/Nov/2017:14:33:57 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:33:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656163 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:34:27 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:34:27 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656164 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:34:57 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:34:57 +0200] "GET /syncope/rest/system HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:34:57 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656165 HTTP/1.1" 200 2968
127.0.0.1 - - [04/Nov/2017:14:34:57 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
